number,size,id,value,mandate
1,all,Bust,40.65,0
2,all,Waist,34.25,0
3,all,Abdomen,40.15,0
4,all,Hip,42.21,0
5,all,Center_Length_Front,14.76,1
5,all,Center_Length_Back,17.29,1
6,all,Full_Length_Front,17.76,1
6,all,Full_Length_Back,17.79,1
7,all,Shoulder_Slope_Front,18.01,1
7,all,Shoulder_Slope_Back,17.54,1
8,all,New_Strap,18.26,1
9,all,Bust_Depth,10.72,1
9,all,Radius,3.0,0
10,all,Bust_Span,4.13,1
11,all,Side_Length,8.79,1
12,all,Back_Neck,2.81,1
13,all,Shoulder_Length,5.03,1
14,all,Across_Shoulder_Front,7.5,1
14,all,Across_Shoulder_Back,7.75,1
15,all,Across_Chest,7.41,1
16,all,Across_Back,7.21,1
17,all,Bust_Arc,10.91,1
18,all,Back_Arc,9.41,1
19,all,Waist_Arc_Front,8.81,1
19,all,Waist_Arc_Back,8.31,1
20,all,Dart_Placement_Front,3.0,1
20,all,Dart_Placement_Back,3.0,1
22,all,Abdomen_Front,10.04,0
22,all,Abdomen_Back,10.04,0
23,all,Hip_Arc_Front,10.3,1
23,all,Hip_Arc_Back,10.8,1
24,all,Crotch_Depth,10.54,0
25,all,Hip_Depth_Front,6.2,1
25,all,Hip_Depth_Back,6.07,1
26,all,Side_Hip_Depth,6.32,1
27,all,Waist_To_Knee,21.96,1
27,all,Waist_To_Ankle,36.62,0
27,all,Waist_To_Floor,39.36,0
28,all,Crotch_Length,0.0,0
28,all,Vertical_Trunk,59.26,0
29,all,Upper_Thigh,24.5,0
29,all,Mid_Thigh,20.09,0
30,all,Knee,15.32,0
31,all,Calf,14.96,0
32,all,Ankle,10.03,0
32,all,Floor_Entry,12.0,0
Sleeve_1,all,Sleeve_Length,21.01,1
Sleeve_2,all,Cap_Height,4.14,1
Sleeve_3,all,Biceps,12.11,1
