number,size,id,value,mandate
1,west,Bust,40.36,0
2,west,Waist,34.12,0
3,west,Abdomen,39.73,0
4,west,Hip,41.66,0
5,west,Center_Length_Front,14.77,1
5,west,Center_Length_Back,17.28,1
6,west,Full_Length_Front,17.77,1
6,west,Full_Length_Back,17.78,1
7,west,Shoulder_Slope_Front,18.02,1
7,west,Shoulder_Slope_Back,17.53,1
8,west,New_Strap,18.27,1
9,west,Bust_Depth,10.67,1
9,west,Radius,3.0,0
10,west,Bust_Span,4.08,1
11,west,Side_Length,8.85,1
12,west,Back_Neck,2.8,1
13,west,Shoulder_Length,5.02,1
14,west,Across_Shoulder_Front,7.47,1
14,west,Across_Shoulder_Back,7.72,1
15,west,Across_Chest,7.42,1
16,west,Across_Back,7.17,1
17,west,Bust_Arc,10.84,1
18,west,Back_Arc,9.34,1
19,west,Waist_Arc_Front,8.78,1
19,west,Waist_Arc_Back,8.28,1
20,west,Dart_Placement_Front,3.0,1
20,west,Dart_Placement_Back,3.0,1
22,west,Abdomen_Front,9.93,0
22,west,Abdomen_Back,9.93,0
23,west,Hip_Arc_Front,10.16,1
23,west,Hip_Arc_Back,10.66,1
24,west,Crotch_Depth,10.39,0
25,west,Hip_Depth_Front,6.12,1
25,west,Hip_Depth_Back,6.0,1
26,west,Side_Hip_Depth,6.25,1
27,west,Waist_To_Knee,21.52,1
27,west,Waist_To_Ankle,35.88,0
27,west,Waist_To_Floor,38.54,0
28,west,Crotch_Length,0.0,0
28,west,Vertical_Trunk,58.84,0
29,west,Upper_Thigh,24.05,0
29,west,Mid_Thigh,19.73,0
30,west,Knee,15.2,0
31,west,Calf,14.78,0
32,west,Ankle,10.09,0
32,west,Floor_Entry,12.0,0
Sleeve_1,west,Sleeve_Length,20.67,1
Sleeve_2,west,Cap_Height,4.12,1
Sleeve_3,west,Biceps,11.89,1
