number,size,id,value,mandate
1,northeast,Bust,39.43,0
2,northeast,Waist,32.81,0
3,northeast,Abdomen,38.51,0
4,northeast,Hip,40.86,0
5,northeast,Center_Length_Front,14.59,1
5,northeast,Center_Length_Back,17.29,1
6,northeast,Full_Length_Front,17.59,1
6,northeast,Full_Length_Back,17.79,1
7,northeast,Shoulder_Slope_Front,17.84,1
7,northeast,Shoulder_Slope_Back,17.54,1
8,northeast,New_Strap,18.09,1
9,northeast,Bust_Depth,10.39,1
9,northeast,Radius,3.0,0
10,northeast,Bust_Span,4.02,1
11,northeast,Side_Length,8.95,1
12,northeast,Back_Neck,2.76,1
13,northeast,Shoulder_Length,4.92,1
14,northeast,Across_Shoulder_Front,7.3,1
14,northeast,Across_Shoulder_Back,7.55,1
15,northeast,Across_Chest,7.35,1
16,northeast,Across_Back,6.99,1
17,northeast,Bust_Arc,10.61,1
18,northeast,Back_Arc,9.11,1
19,northeast,Waist_Arc_Front,8.45,1
19,northeast,Waist_Arc_Back,7.95,1
20,northeast,Dart_Placement_Front,3.0,1
20,northeast,Dart_Placement_Back,3.0,1
22,northeast,Abdomen_Front,9.63,0
22,northeast,Abdomen_Back,9.63,0
23,northeast,Hip_Arc_Front,9.96,1
23,northeast,Hip_Arc_Back,10.46,1
24,northeast,Crotch_Depth,10.19,0
25,northeast,Hip_Depth_Front,6.08,1
25,northeast,Hip_Depth_Back,5.96,1
26,northeast,Side_Hip_Depth,6.21,1
27,northeast,Waist_To_Knee,21.68,1
27,northeast,Waist_To_Ankle,36.27,0
27,northeast,Waist_To_Floor,39.03,0
28,northeast,Crotch_Length,0.0,0
28,northeast,Vertical_Trunk,58.05,0
29,northeast,Upper_Thigh,24.0,0
29,northeast,Mid_Thigh,19.68,0
30,northeast,Knee,14.99,0
31,northeast,Calf,14.74,0
32,northeast,Ankle,9.92,0
32,northeast,Floor_Entry,12.0,0
Sleeve_1,northeast,Sleeve_Length,20.88,1
Sleeve_2,northeast,Cap_Height,4.03,1
Sleeve_3,northeast,Biceps,11.68,1
